"";"Category";"Description";"Nutrient_Bank_Number";"Carbohydrate";"Choline";"Niacin";"Protein";"Riboflavin";"Selenium";"Sugar_Total";"Thiamin";"Water";"Fat__Monosaturated_Fat";"Fat__Polysaturated_Fat";"Fat__Saturated_Fat";"Fat__Total_Lipid";"Minerals__Calcium";"Minerals__Copper";"Minerals__Iron";"Minerals__Magnesium";"Minerals__Phosphorus";"Minerals__Potassium";"Minerals__Sodium";"Minerals__Zinc";"Vitamins__Vitamin_A";"Vitamins__Vitamin_B6";"Vitamins__Vitamin_E";"Vitamins__Vitamin_K"
"286";"Broccoli raab";"Broccoli raab, cooked";72103030;2,88;18,7;1,17;3,2;0,124;1;0,38;0,147;89,5;1,015;1,027;0,835;3,14;109;0,042;2,16;22;74;198;160;0,78;137;0,181;1,94;228,3
"287";"Spinach soup";"Spinach soup";72307000;2,88;13,7;0,923;2,92;0,117;0,9;1,68;0,042;91,88;0,239;0,129;0,429;0,98;73;0,071;1,09;32;61;285;182;0,36;177;0,086;0,74;180,2
"288";"Mixed salad greens";"Mixed salad greens, raw";75114000;2,93;12,8;0,386;1,61;0,093;0,8;0,91;0,064;94,42;0,008;0,109;0,032;0,22;46;0,053;1,3;28;32;270;36;0,26;310;0,107;0,64;193,4
"289";"Egg omelet or scrambled egg";"Egg omelet or scrambled egg, with potatoes and/or onions, no added fat";32131210;2,94;205,4;0,186;11,17;0,382;26,7;0,64;0,035;76,32;3,174;1,663;2,716;8,26;51;0,075;1,62;13;179;174;225;1,16;139;0,173;0,92;0,5
"290";"Squid";"Squid, pickled";26213180;2,96;62,3;1,98;14,93;0,395;43,1;0,01;0,017;74,33;0,103;0,502;0,343;1,32;34;1,814;0,66;32;202;236;1515;1,47;9;0,048;1,15;0
"291";"Scrambled eggs with jerked beef";"Scrambled eggs with jerked beef, Puerto Rican style";32105330;2,97;153,2;2,316;21,4;0,34;32,9;2,01;0,054;51,73;5,738;7,421;3,801;18,04;41;0,082;2,15;17;204;208;1542;2,96;98;0,275;2,44;1
"292";"Spinach salad";"Spinach salad, no dressing";75147000;2,97;82,2;1,244;7,02;0,261;10,7;0,54;0,108;83,25;1,924;0,833;1,549;4,91;83;0,104;2,27;61;98;462;197;0,81;370;0,202;1,71;347,9
"293";"Queso Fresco";"Queso Fresco";14133000;2,98;12,5;0,027;18,09;0,173;19,3;2,32;0,042;51,42;5,966;1,106;12,94;23,82;566;0,033;0,2;24;385;129;751;2,58;224;0,076;0,37;1
"294";"Puerto Rican white cheese";"Puerto Rican white cheese";14203510;2,98;12,5;0,027;18,09;0,173;19,3;2,32;0,042;51,42;5,966;1,106;12,94;23,82;566;0,033;0,2;24;385;129;751;2,58;224;0,076;0,37;1
"295";"Escarole";"Escarole, cooked";72116220;2,98;15,1;0,302;1,12;0,06;0,2;0,22;0,057;91,61;0,936;0,854;0,762;2,71;45;0,084;0,7;13;22;238;140;0,67;102;0,032;0,68;207,5
"296";"Mustard greens";"Mustard greens, frozen, cooked, fat added";72122222;3,02;0,5;0,25;2,21;0,052;0,6;0,31;0,039;91,13;1,041;0,821;0,733;2,78;98;0,056;1,09;13;24;135;146;0,19;353;0,121;1,6;326,7
"297";"Squid";"Squid, raw";26213100;3,08;65;2,175;15,58;0,412;44,8;0;0,02;78,55;0,107;0,524;0,358;1,38;32;1,891;0,68;33;221;246;44;1,53;10;0,056;1,2;0
"298";"Spinach dip";"Spinach dip, regular";12350240;3,1;25;0,086;2,11;0,106;3;2,31;0,026;56,54;8,247;17,401;8,527;36,33;73;0,027;0,26;12;57;102;563;0,28;108;0,038;1,67;104,1
"299";"Cheese";"Cheese, Mozzarella, reduced sodium";14107040;3,1;18,4;0,12;27,5;0,34;15,7;1,23;0,02;49,9;4,844;0,509;10,867;17,1;731;0,027;0,25;26;524;95;16;3,13;137;0,08;0,15;1,8
"300";"Liverwurst";"Liverwurst";25230560;3,1;255,9;8,368;14,5;1,525;58;0;0,249;50,6;12,731;3,193;9,307;28,5;9;0,24;11,2;11;168;199;977;2,81;4220;0,33;0,35;1,6
"301";"Mustard greens";"Mustard greens, frozen, cooked, no added fat";72122212;3,1;0,3;0,257;2,26;0,053;0,6;0,32;0,04;93,52;0,113;0,047;0,013;0,25;101;0,058;1,12;13;24;139;141;0,2;353;0,108;1,35;334,1
